flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,numUniqSentAddress,numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherSentContracts,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
1,0,0,0,643,1504666133,88528749.24,13,1,17,0,1,17,31.806779,31.806779,31.806779,0.04,10.5,1.871013,18,31.806779,31.80722,0,0.000441,5,13,8.5,0.05263157895,0.8947368421,0,0.6114709034,1.384615385,10.8641837
1,0,0,0,160,133521,10978.94444,3,0,18,1,0,16,0,0,0,0.01,2.5,0.662795,19,0,11.93030199,0,11.93030199,3,12,18,0,0.9,0,0.6151767384,6.333333333,4.632691802
1,38,405746,78924.46667,2080,1504801028,752401554,14,15,2,3,4,2,0,4.266684,0.317779,0.8,4.04141,2.420705,20,4.766684133,4.84141026,0,0.074726127,10,6,0.125,0.7142857143,0.09523809524,0.9193470813,0.3347588773,1.428571429,1.335901904
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.00001,0.00001,0.00001,1,0,1.00E-05,0,1.00E-05,1,1,1,0,0.5,0,0,1,0
1,0,0,0,808,1504954865,51925263.17,188,1,29,0,1,29,148.59098,148.59098,148.59098,0.000001,20,5.123842,30,148.5909801,148.5914211,0,0.000441,12,10,14.5,0.03225806452,0.935483871,0,0.6195818654,0.1595744681,44.15270874
1,0,0,0,526,1505216163,137467229.3,185,1,11,0,1,10,105.040165,105.040165,105.040165,0.1,80,9.549146,12,105.0401647,105.0406057,0,0.000441,11,2,5.5,0.07692307692,0.8461538462,0,0.815385773,0.06486486486,45.78885532
1,237,20578662,7123048,0,1505218776,26414625.65,253,3,57,0,3,53,0,133.69,44.566422,0,15.2,2.345617,60,133.6992659,133.700186,0,0.000920105,5,56,14.25,0.04918032787,0.9344262295,0.6666204625,0.6459274184,0.2371541502,41.36107864
1,0,0,0,5620,1505229397,501747164.7,14,1,3,0,1,3,5.499,5.499,5.499,1,3,1.833333,4,5.499,5.5,0,0.001,2,3,1.5,0.2,0.6,0,0.2424242292,0.2857142857,2.01129627
1,0,0,0,75535,1505079345,752577440,3,1,2,0,1,2,0.1,0.1,0.1,0.004,0.12,0.062,3,0.1,0.124,0,0.024,2,2,1,0.25,0.5,0,0.4677411811,1,0.05249338583
1,0,0,0,1605,1505244747,301055641.8,3,1,5,0,1,5,6.192214,6.192214,6.192214,0.9,2,1.238531,6,6.19221388,6.19265488,0,0.000441,2,5,2.5,0.1428571429,0.7142857143,0,0.1658316158,2,2.056485876
1,2968,36264,19616,0,0,0,1,2,1,0,2,1,0.144871,1.93,1.037435,2.084104,2.084104,2.084104,3,2.07487085,2.08410367,0,0.00923282,1,3,0.3333333333,0.5,0.25,0.4301783357,0,3,0.945808097
1,0,0,0,455,1505330629,215049944.9,52,1,7,0,1,6,121.99,121.99,121.99,10,32,17.428571,8,121.99,122,0,0.01,2,7,3.5,0.1111111111,0.7777777778,0,0.2716627619,0.1538461538,38.29938003
1,0,0,0,0,0,0,20,1,1,0,1,1,12.99,12.99,12.99,13,13,13,2,12.99,13,0,0.01,2,1,0.5,0.3333333333,0.3333333333,0,0,0.1,6.495
1,0,0,0,79,86182,18230,2,0,5,1,0,3,0,0,0,0.01,3.744508,0.810902,6,0,4.054507555,0,4.054507555,2,3,5,0,0.7142857143,0,0.7368603055,3,1.95842003
1,0,0,0,0,1729,310.705882,1,0,17,1,0,15,0,0,0,0.01,10,2.140515,18,0,36.38876002,0,36.38876002,1,18,17,0,0.8947368421,0,0.6013248926,18,12.54652123
1,169,44430,9769.142857,41813,1505412992,501833607,2,7,3,0,3,3,0,0.333,0.053143,0.05,0.234,0.128,10,0.372,0.384,0,0.012,2,7,0.375,0.6363636364,0.2727272727,0.8241151927,0.3194441949,5,0.09132885634
1,142,3145353,393364.625,439,1505483707,301112094.6,38,8,5,0,8,4,11.996572,15,14.624572,0.0001,50,23.40002,13,116.996572,117.0001,0,0.003528,9,5,0.5555555556,0.5714285714,0.3571428571,0.02246219216,0.4410245784,0.3421052632,35.49951791
1,0,0,0,2554,1505507160,150593303.9,181,1,10,0,1,10,23.134347,23.134347,23.134347,0.02,10,2.313479,11,23.13434721,23.13478821,0,0.000441,6,5,5,0.08333333333,0.8333333333,0,0.5730801856,0.06077348066,7.398501785
1,0,0,0,0,1505565436,94129252.19,10,1,16,0,1,16,28.433,28.433,28.433,0.108,9.999559,1.77715,17,28.433,28.43440165,0,0.001401649,3,15,8,0.05555555556,0.8888888889,0,0.5320959166,1.7,10.28968969
1,0,0,0,0,0,0,50,1,1,0,1,1,6.99,6.99,6.99,7,7,7,2,6.99,7,0,0.01,2,1,0.5,0.3333333333,0.3333333333,0,0,0.04,3.495
1,817,2622226,1311521.5,247,1505758203,100399248.8,34,2,15,0,2,14,12.9,14.49,13.695,0.1,7,1.826433,17,27.39,27.39650235,0,0.006502353002,5,7,5,0.1111111111,0.8333333333,0.02902519146,0.5028743268,0.5,9.044806927
1,2369,2316710,1159539.5,0,1505776982,68471764.95,34,2,22,0,2,21,6.997,10.3599,8.67845,0.02,3.481186,0.789087,24,17.3569,17.35990536,0,0.003005362694,8,14,7.333333333,0.08,0.88,0.09687501689,0.5418801463,0.7058823529,5.023784373
1,0,0,0,1197,1505816234,215131147,178,1,7,0,1,7,16.249559,16.249559,16.249559,0.05,6,2.321429,8,16.249559,16.25,0,0.000441,3,4,3.5,0.1111111111,0.7777777778,0,0.5002197587,0.04494382022,5.214121531
1,212,2642045,528816.6,514,1505828186,79266342.95,34,5,19,0,4,18,9.110564,14.5,13.422113,0.005,19.988068,3.532251,24,67.11056357,67.11276857,0,0.002205,9,13,3.166666667,0.2,0.76,0.06424546124,0.6824791403,0.7058823529,15.26110352
1,0,0,0,0,1505832638,71710153.81,13,1,21,0,1,21,51.89,51.89,51.89,0.005,10.98,2.471269,22,51.89,51.89664249,0,0.006642488002,2,21,10.5,0.04347826087,0.9130434783,0,0.5364966129,1.692307692,15.93936371
1,1021449,23321473,12171461,3617,1505846749,301204544,284,2,5,0,2,4,1.813,3.4,2.6065,0.00001,5,1.043461,7,5.213,5.217306849,0,0.004306848514,5,2,1.666666667,0.25,0.625,0.152215609,0.7730181473,0.02464788732,2.298349591
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.003781,0.003781,0.003781,1,0,0.0037811472,0,0.0037811472,1,1,1,0,0.5,0,0,1,0
1,0,0,0,3635,1505846362,150638434.7,34,1,10,0,1,10,6.442345,6.442345,6.442345,0.036364,2,0.644279,11,6.442345019,6.442786019,0,0.000441,6,5,5,0.08333333333,0.8333333333,0,0.5093807837,0.3235294118,2.045368642
1,0,4681874,209783.0179,10,1507362494,12685270.03,162,56,119,0,55,103,0,561.4,10.028674,0.006509,308,4.719694,175,561.6057401,561.6435849,0,0.037844824,63,18,2.087719298,0.3181818182,0.6761363636,0.9821291278,0.8981025529,1.080246914,240.1462498
1,9,6708120,107351.8261,30,1512978836,13518456.16,99,69,112,0,56,98,0,102,1.751049,0.003904,25.001033,1.079788,181,120.8223849,120.9362285,0,0.113843652,51,25,1.6,0.3791208791,0.6153846154,0.9803314616,0.8887800831,1.828282828,37.45977603
1,31,2948817,124365.3333,24,1514512603,12624709,79,51,120,0,42,105,0,95.7,1.882641,0.002055,30.43,0.787923,171,96.01467637,94.55070186,0,-1.463974514,49,42,2.307692308,0.2965116279,0.6976744186,0.9802635802,0.8952033014,2.164556962,39.26675164
1,27,4864025,116260.0625,0,1515024049,10749838.57,73,48,141,0,42,130,0,69.2,1.489972,0,17.1,0.507541,189,71.5186573,71.56322958,0,0.044572277,50,26,2.87755102,0.2526315789,0.7421052632,0.9776301054,0.9171100582,2.589041096,25.52100823
1,0,0,0,0,0,0,1,1,1,0,1,1,0.999559,0.999559,0.999559,1,1,1,2,0.999559,1,0,0.000441,1,2,0.5,0.3333333333,0.3333333333,0,0,2,0.4997795
1,0,0,0,0,0,0,1,1,1,0,1,1,3.449559,3.449559,3.449559,3.45,3.45,3.45,2,3.449559,3.45,0,0.000441,1,2,0.5,0.3333333333,0.3333333333,0,0,2,1.7247795
1,18999,2727660,1373329.5,53348,1505585749,167517462.7,56,2,9,0,2,9,2.499118,11.789559,7.144338,0.06,10,1.587729,11,14.288677,14.289559,0,0.000882,11,1,3,0.1666666667,0.75,0.3250980084,0.6923401002,0.1964285714,3.195634125
1,0,0,0,0,80291,5064.083333,2,0,24,1,0,9,0,0,0,0.01,4,0.325208,25,0,7.805,0,7.805,2,16,24,0,0.9230769231,0,0.7495460006,12.5,1.542985366
1,0,0,0,386,1507049382,376762829.8,4,1,4,0,1,4,29.499559,29.499559,29.499559,1,15,7.375,5,29.499559,29.5,0,0.000441,2,4,2,0.1666666667,0.6666666667,0,0.377118639,1.25,10.92874708
1,0,0,0,0,1507037100,68577492.32,122,1,22,0,1,22,87.096356,87.096356,87.096356,0.01,29,3.959334,23,87.09635606,87.10535606,0,0.009,7,17,11,0.04166666667,0.9166666667,0,0.6701097924,0.1885245902,28.8215753
1,43,2808013,535292,0,1507026059,14663653.72,89,8,103,0,5,101,0,250,78.248789,0.005,420,6.07761,111,625.990313,625.9938806,0,0.003567522,10,102,11.44444444,0.07142857143,0.9196428571,0.6008541488,0.9002164228,1.247191011,179.0820619
1,0,0,0,512,1507046893,502349478,1,1,3,0,1,3,4.999559,4.999559,4.999559,1.4,2,1.666667,4,4.999559,5,0,0.000441,1,4,1.5,0.2,0.6,0,0.0799999952,4,1.904457879
1,0,0,0,64,1507880039,115995696.5,12,1,13,0,1,12,44.67,44.67,44.67,0.1,10,3.436865,14,44.67,44.67924914,0,0.00924914,2,13,6.5,0.06666666667,0.8666666667,0,0.4717445517,1.166666667,14.16423298
1,0,0,0,33,1507999056,502666396.7,1,1,3,0,1,1,1.499559,1.499559,1.499559,0.5,0.5,0.5,4,1.499559,1.5,0,0.000441,1,4,1.5,0.2,0.6,0,0,4,0.5588690915
1,64,376780,81855.6,376,1508119711,251355785.2,5,5,6,0,3,5,1,25,10.8444,0.022,50,9.037393,11,54.222,54.224358,0,0.002358,5,6,1,0.4166666667,0.5,0.436885393,0.7939257456,2.2,20.62079482
1,0,1903184,41208.75758,21,1507845249,58034871.27,44,66,26,0,47,22,0,82,1.30697,0.079358,23.574762,3.324544,92,86.26,86.43813492,0,0.1781349197,28,26,0.3880597015,0.7096774194,0.2795698925,0.9828846496,0.5922920007,2.090909091,27.81673919
1,84,444367,30472.73333,0,1506333653,2788799.333,34,15,541,0,3,471,0.003318,300,122.34467,0,216,3.392193,556,1835.170056,1835.176671,0,0.006615,32,399,33.8125,0.02692998205,0.9712746858,0.3910851875,0.7991925598,16.35294118,509.6318077
1,676,597178,208967.6667,10,1508292827,62876417.5,16,3,24,0,3,24,30.177,105,70.059,0.01,150,8.757844,27,210.177,210.1882667,0,0.011266728,5,23,6,0.1071428571,0.8571428571,0.2373332949,0.8448254696,1.6875,49.05598911
1,0,0,0,168,1508328323,151135086.6,149,1,10,0,1,10,93.518189,93.518189,93.518189,0.29863,51,9.351863,11,93.5181888,93.5186298,0,0.000441,4,8,5,0.08333333333,0.8333333333,0,0.6815886058,0.07382550336,23.95993874
1,0,0,0,267,1508336616,377624117,47,1,4,0,1,4,15.16958,15.16958,15.16958,0.16979,10,3.792448,5,15.16958,15.16979,0,0.00021,3,3,2,0.1666666667,0.6666666667,0,0.551929676,0.1063829787,5.450877138
1,185,2317494,545901.3,0,0,0,64,10,1,0,9,1,0.01,3.5,0.549489,5.5,5.5,5.5,11,5.4948865,5.5,0,0.0051135,9,3,0.09090909091,0.8333333333,0.08333333333,0.6850851724,0,0.171875,1.393282526
1,0,0,0,0,0,0,1,1,1,0,1,1,2.999559,2.999559,2.999559,3,3,3,2,2.999559,3,0,0.000441,1,2,0.5,0.3333333333,0.3333333333,0,0,2,1.4997795
1,0,0,0,59859,1508514948,754287403.5,1,1,2,0,1,2,3.099559,3.099559,3.099559,0.1,3,1.55,3,3.099559,3.1,0,0.000441,1,3,1,0.25,0.5,0,0.4677419053,3,1.438254265
1,0,0,0,0,1508471082,75429163.3,6,1,20,0,1,18,186.84833,186.84833,186.84833,0.516024,70.97937,9.342433,21,186.8483297,186.8486657,0,0.000336,3,16,10,0.04545454545,0.9090909091,0,0.7097719092,3.5,60.52195189
1,0,0,0,0,0,0,4,1,1,0,1,1,14.999559,14.999559,14.999559,15,15,15,2,14.999559,15,0,0.000441,2,1,0.5,0.3333333333,0.3333333333,0,0,0.5,7.4997795
1,0,0,0,0,0,0,11,1,1,0,1,1,1.999559,1.999559,1.999559,2,2,2,2,1.999559,2,0,0.000441,2,1,0.5,0.3333333333,0.3333333333,0,0,0.1818181818,0.9997795
1,0,0,0,0,0,0,42,1,1,0,1,1,0.008861,0.008861,0.008861,0.009302,0.009302,0.009302,2,0.00886119716,0.00930219716,0,0.000441,2,1,0.5,0.3333333333,0.3333333333,0,0,0.04761904762,0.00443059858
1,111,9944408,2120149.9,20,1506373691,10900819.01,348,10,139,0,9,134,0,96.4,30.886987,0.000921,66.97,2.223962,149,308.8698665,309.1306606,0,0.260794051,109,10,12.63636364,0.06666666667,0.9266666667,0.5929777528,0.8309397519,0.4281609195,69.66656108
1,0,0,0,0,1508851017,60355980.76,67,1,25,0,1,25,103.797259,103.797259,103.797259,0.002692,18,4.152068,26,103.7972586,103.8016986,0,0.00444,2,25,12.5,0.03703703704,0.9259259259,0,0.5978545215,0.3880597015,33.33718946
1,0,0,0,0,0,0,1356,1,1,0,1,1,0.251426,0.251426,0.251426,0.294426,0.294426,0.294426,2,0.251426,0.294426,0,0.043,2,1,0.5,0.3333333333,0.3333333333,0,0,0.001474926254,0.125713
1,0,0,0,0,0,0,32,1,1,0,1,1,0.499559,0.499559,0.499559,0.5,0.5,0.5,2,0.499559,0.5,0,0.000441,2,1,0.5,0.3333333333,0.3333333333,0,0,0.0625,0.2497795
1,161416,1401070,609519.3333,235,1509150320,251544011.8,23,3,6,0,1,5,0.846054,1,0.948685,0.047377,1,0.474563,9,2.846054,2.847377,0,0.001323,5,5,1.5,0.3,0.6,0.03606068467,0.4192814118,0.3913043478,0.8924223927
1,120990,7270283,1951941,3159,1508076711,83888055.11,136,5,18,0,4,14,0.000929,10.566836,2.415465,0.1,4.992323,0.671095,23,12.07732383,12.07971783,0,0.002394,22,2,3,0.2083333333,0.75,0.7287764097,0.5518561732,0.1691176471,4.10213969
1,97,12363593,2213935,30,1509614144,79669418.26,202,6,19,0,6,19,0,10,4.275435,0.001,10.995,1.350267,25,25.65260769,25.65506446,0,0.002456769,8,18,2.714285714,0.2307692308,0.7307692308,0.5471839743,0.7060468695,0.1237623762,10.18391437
1,0,0,0,0,0,0,30,1,1,0,1,1,10.09979,10.09979,10.09979,10.1,10.1,10.1,2,10.09979,10.1,0,0.00021,2,1,0.5,0.3333333333,0.3333333333,0,0,0.06666666667,5.049895
1,0,0,0,174132,1509900202,755037167,28,1,2,0,1,2,3.39979,3.39979,3.39979,0.3,3.1,1.7,3,3.39979,3.4,0,0.00021,3,1,1,0.25,0.5,0,0.4117646817,0.1071428571,1.536853571
1,0,0,0,0,0,0,61,1,1,0,1,1,0.04958,0.04958,0.04958,0.05,0.05,0.05,2,0.04958,0.05,0,0.00042,2,1,0.5,0.3333333333,0.3333333333,0,0,0.03278688525,0.02479
1,139715,9836676,4988195.5,4431,1509918645,754961538,116,2,2,0,2,2,0.0008,2.249,1.1249,0.25,2,1.125,4,2.2498,2.25,0,0.0002,3,2,0.6666666667,0.4,0.4,0.4996443684,0.3888888543,0.03448275862,1.065871202
